;n1;n2;n3;n4
H10;0.2480407009622702;0.2209489896458312;0.27497995397188085;0.25816997420190113
H6;0.1336761095044065;0.13178949366325216;0.13206291442607526;0.13589673688583914
H5;0.1403611728400645;0.13865152743095485;0.13568011192778928;0.14659768730814757
H4;0.13709634728449932;0.12302762785797472;0.12190413493455092;0.11822415096640078
H3;0.13300820240007044;0.12392274972595019;0.11325731394196667;0.11410931528582928
H2;0.09235125921397543;0.09009915202821431;0.0856916568902467;0.08099194650893395
H1;0.0763429778176802;0.08056487783253512;0.07777036334577073;0.07210818205519717
