;n1;n2;n3;n4
H10;0.10817836950825357;0.20623572796576078;0.20947096407664856;0.2261338020731413
H6;0.1007241496566138;0.08662195324208241;0.11695006456795669;0.15027654938794557
H5;0.07416955585074675;0.08540530757377048;0.11080998943847165;0.13758324274127537
H4;0.08076800178148683;0.09114048546717482;0.1087807746569992;0.1375096237588501
H3;0.07816436422643443;0.09671203362998472;0.0939611389528783;0.12527624576390442
H2;0.08825378164524814;0.1176613331768241;0.12339860086272399;0.14291297288249288
H1;0.08442902437072218;0.11066728822186704;0.08937433590345514;0.10724506939686211
