;n1;n2;n3;n4
H10;0.24808169779904682;0.22091030326977354;0.2655427186241687;0.2579823585338955
H6;0.1336396932913617;0.13169083438982887;0.13200541639095564;0.1357317028069654
H5;0.1403212499672749;0.13858156914603084;0.13563329661200338;0.14645370325710952
H4;0.13704336688650254;0.12300176482336914;0.12187384189337988;0.12109305118254302
H3;0.13296572701619377;0.12390790103505822;0.11323978311861782;0.11782457309743774
H2;0.09231615324297086;0.09015424854782819;0.08575422738918961;0.0810149593376155
H1;0.07630539339473022;0.08065216596175799;0.0778530369024637;0.0721369895590676
