;n1;n2;n3;n4
H10;0.13016836201187895;0.1437737133608125;0.14475320622482798;0.12881739460085925
H6;0.1130495555064108;0.09582687774138685;0.09797068759372286;0.07867960158457996
H5;0.08304948240876148;0.08222170700314861;0.07266059588693359;0.07753887822556346
H4;0.12575940740428584;0.09864082672370016;0.07929304249245518;0.07604298155903866
H3;0.10825811906479525;0.13243699351436555;0.10462677835816178;0.08679766055130664
H2;0.10897724977396053;0.10237266339527515;0.10895020178481638;0.09289022620618133
H1;0.09112163951718685;0.07842521041336595;0.08435740174864251;0.0836752600285206
