;n1;n2;n3;n4
H10;0.43153544810561584;0.4124358613544786;0.407994158952887;0.2972353229952077
H6;0.3437320060414911;0.31079464766128434;0.26922913005390453;0.29226476263348883
H5;0.20218982517227424;0.23896897710840953;0.2283215526645092;0.23558305465655457
H4;0.2173778605503566;0.2389428208674004;0.2310482459854398;0.22306815029200178
H3;0.2311108590377781;0.2564316103673361;0.23848662038669746;0.25534272132881664
H2;0.23901128544824765;0.20959928901694952;0.19790221890513088;0.21718966420736074
H1;0.2629717635206123;0.25010501035077704;0.18810790623228826;0.18972328924037538
