Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.163722;0.010810;0.146230;0.094886;0.037945;0.039700;0.009481;0.050955;0.088795;0.006218
ES;0.159948;0.004625;0.168926;0.070305;0.154551;0.032157;0.017420;0.085999;0.162944;0.014173
ARIMA;0.120508;0.007658;0.125962;0.081817;0.104978;0.040535;0.016226;0.091073;0.153328;0.029136
PressRidge;0.102819;0.007795;0.071224;0.097350;0.114095;0.022957;0.010088;0.072220;0.114792;0.010048
PipeRF;0.613625;0.007495;0.163341;0.110784;0.551654;0.285011;0.017027;0.025962;0.262679;0.029168
PipeKNN;0.505739;0.017721;0.184183;0.091297;0.496194;0.077948;0.032786;0.054008;0.121083;0.011581
RidgeCV;0.102639;0.007804;0.071115;0.097375;0.114297;0.022988;0.010080;0.072211;0.114824;0.010071
EnetCV;0.102839;0.007796;0.071236;0.097347;0.114073;0.022953;0.010089;0.072221;0.114788;0.010046
LassoCV;0.082256;0.005907;0.065915;0.101301;0.151156;0.023350;0.008990;0.075667;0.127534;0.016436
RF;0.108525;0.014295;0.066443;0.123263;0.160010;0.187760;0.019661;0.036468;0.222221;0.020155
KNN;0.082250;0.004718;0.081425;0.145291;0.127987;0.071819;0.032138;0.071723;0.200923;0.020327
GBR;0.088874;0.008394;0.093897;0.097110;0.162062;0.064863;0.021788;0.031241;0.197851;0.009616
PLS;0.102839;0.007772;0.071236;0.097347;0.114073;0.022953;0.010089;0.072221;0.114788;0.010046
