;n1;n2;n3;n4
H10;0.24808648930911756;0.22090618948066054;0.2803352833471735;0.2698603332066791
H6;0.13363576588972423;0.13167996993978845;0.13199912540544817;0.12468120943808969
H5;0.14031692063513737;0.13857391147541734;0.13562820418453117;0.1377758448138138
H4;0.1370375706444392;0.12299902014747388;0.12187059759690899;0.11469040377582691
H3;0.13296108162374756;0.12390635599685085;0.11323795054108524;0.11453977997731417
H2;0.0923123177939189;0.09016052966440505;0.08576135729524871;0.08101764345582808
H1;0.07630126590502061;0.080662035180427;0.0778623919721413;0.07214028457420454
