;n1;n2;n3;n4
H10;0.2152371533562532;0.27826162866326815;0.2603856175173652;0.1698701494305698
H6;0.158008814508455;0.08408531541984483;0.1027360363006706;0.08981891435428421
H5;0.07736182200069225;0.09263725217290766;0.0853956213752953;0.08374545979868156
H4;0.08950904448939744;0.09485611845723774;0.10239225108693514;0.09540251478290816
H3;0.12544642659038746;0.12348110492683159;0.10876577634411366;0.10784400235332274
H2;0.08159481623257214;0.09047995280862822;0.09140322229213241;0.08774006971570306
H1;0.08668586284594561;0.07071461153460705;0.07834176892618577;0.0823995239251185
