;n1;n2;n3;n4
H10;0.22750841872619473;0.22750841872619473;0.22750841872619473;0.22750841872619473
H6;0.12793497722065245;0.12793497722065245;0.12793497722065245;0.12793497722065245
H5;0.14338706946681976;0.14338706946681976;0.14338706946681976;0.14338706946681976
H4;0.14266078613532743;0.14266078613532743;0.14266078613532743;0.14266078613532743
H3;0.1228164258798582;0.1228164258798582;0.1228164258798582;0.1228164258798582
H2;0.09546323603824951;0.09546323603824951;0.09546323603824951;0.09661904541711124
H1;0.07283774958086273;0.07283774958086273;0.07283774958086273;0.07296352637563595
