;n1;n2;n3;n4
H10;0.2499594562510699;0.21948326400349832;0.28007733410845187;0.2712981856680944
H6;0.1815722557088734;0.12935675405100852;0.13373048484449482;0.12852748011829268
H5;0.19441636816313718;0.13616721900673617;0.13476598162239165;0.145465039265465
H4;0.19392790645463537;0.11978717335677695;0.11695522738158101;0.11120726390637685
H3;0.1766366740839875;0.12184537335840118;0.11346918327250144;0.11000201771146509
H2;0.1174652149195697;0.08677953764244545;0.08538013455959143;0.07812755396000284
H1;0.09108018879574997;0.07649113689748352;0.07648244460517857;0.07316800985478124
