;n1;n2;n3;n4
H10;0.42766144960860614;0.35359768044445306;0.2500282657055554;0.23062425849706827
H6;0.3060207280414241;0.22496610803102354;0.22403173817668764;0.2248006885671673
H5;0.35454834270252167;0.19463843923387333;0.17572725319492627;0.17572725319492627
H4;0.2866040500265452;0.17230278065357257;0.17230278065357257;0.1727151438357567
H3;0.25362994331275923;0.1892777111614568;0.19497729458888632;0.1941339596897998
H2;0.1812734174004931;0.1753286316649157;0.17307902057501595;0.17561683702141154
H1;0.15330203699004358;0.14331399176113502;0.1436333697585884;0.14730379987101108
