;n1;n2;n3;n4
H10;0.24622774345222265;0.23225729328760697;0.29322303762504076;0.2742556220633582
H6;0.1345835050032561;0.14338757950568132;0.14015655159649398;0.13512815001762618
H5;0.14050416299153481;0.14535968767944488;0.13990838310074372;0.14526229336579588
H4;0.13743478733152062;0.12105636720934214;0.12370629417841786;0.12190276113698414
H3;0.13322034905715643;0.1209559304507001;0.11103405027975902;0.11341976877602007
H2;0.09303868432336235;0.08446137627141345;0.07988297461140045;0.07847679108162547
H1;0.07775362977812042;0.07420220719915702;0.0724036619757316;0.06213897646549164
