Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.219206;0.003868;0.139220;0.092719;0.013497;0.032754;0.024070;0.042035;0.075168;0.008990
ES;0.212263;0.004249;0.064974;0.117692;0.055396;0.031382;0.038096;0.017238;0.043924;0.012938
ARIMA;0.164056;0.004460;0.045900;0.119343;0.055218;0.027338;0.024651;0.011002;0.048927;0.019760
PressRidge;0.137907;0.005583;0.025529;0.078510;0.055778;0.011414;0.025076;0.026203;0.047705;0.015774
PipeRF;0.669378;0.178342;0.244490;0.202451;0.399904;0.482273;0.059123;0.057816;0.164479;0.039098
PipeKNN;0.825652;0.219243;0.258807;0.218582;0.636063;0.605812;0.065831;0.029770;0.149197;0.017922
RidgeCV;0.137686;0.005588;0.025529;0.078384;0.055937;0.011417;0.025073;0.026114;0.047715;0.015796
EnetCV;0.137934;0.005583;0.025529;0.078525;0.055761;0.011414;0.025077;0.026213;0.047703;0.015772
LassoCV;0.110080;0.003850;0.024183;0.078596;0.073576;0.011134;0.023511;0.015879;0.055456;0.020228
RF;0.141478;0.005876;0.052988;0.097123;0.113176;0.111014;0.045356;0.033386;0.140646;0.028918
KNN;0.103236;0.004201;0.062705;0.083603;0.068874;0.086465;0.076027;0.018872;0.155752;0.014492
GBR;0.098779;0.004076;0.035227;0.074561;0.024003;0.011688;0.020983;0.016390;0.101754;0.016742
PLS;0.137934;0.005554;0.025529;0.078525;0.055761;0.011414;0.025077;0.026213;0.047703;0.015772
