;n1;n2;n3;n4
H10;0.3175203851288108;0.3175203851288108;0.3175203851288108;0.3175203851288108
H6;0.1758943295400484;0.1758943295400484;0.1758943295400484;0.1758943295400484
H5;0.15730436604885784;0.15730436604885784;0.15730436604885784;0.15730436604885784
H4;0.14164145649805976;0.14164145649805976;0.14164145649805976;0.14164145649805976
H3;0.13501561736656187;0.13501561736656187;0.13501561736656187;0.13501561736656187
H2;0.10163219085744138;0.10163219085744138;0.10163219085744138;0.10163445595408242
H1;0.07476143577072637;0.07476143577072637;0.07476143577072637;0.07476167609321752
