Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.197466;0.001938;0.029490;0.088680;0.030232;0.008787;0.008701;0.083577;0.095962;0.002361
ES;0.194425;0.003058;0.11771;0.072066;0.113514;0.018965;0.027217;0.007405;0.170632;0.012515
ARIMA;0.171897;0.003822;0.101212;0.075019;0.106993;0.019376;0.019888;0.010649;0.163844;0.015621
PressRidge;0.142622;0.004261;0.05412;0.051113;0.13895;0.016479;0.017214;0.011293;0.135421;0.010597
PipeRF;0.680299;0.084118;0.20219;0.152951;1.08416;0.414204;0.16696;0.036621;0.10518;0.010746
PipeKNN;0.54756;0.183061;0.178;0.201625;0.49178;0.277512;0.049273;0.020855;0.351336;0.011305
RidgeCV;0.142377;0.004258;0.054039;0.051025;0.138963;0.016454;0.017216;0.011275;0.135448;0.010595
EnetCV;0.142652;0.004261;0.054129;0.051122;0.138948;0.016482;0.017214;0.011295;0.135418;0.010598
LassoCV;0.112095;0.002241;0.070042;0.057165;0.138113;0.013379;0.016235;0.008799;0.144923;0.01129
RF;0.15238;0.00583;0.044628;0.089394;0.134044;0.082395;0.025177;0.022116;0.152085;0.012962
KNN;0.123836;0.003851;0.056352;0.037581;0.15376;0.018195;0.086483;0.012971;0.063157;0.00843
GBR;0.094186;0.003832;0.028577;0.03452;0.110402;0.011705;0.005453;0.006898;0.137141;0.009292
PLS;0.142652;0.004261;0.054129;0.051122;0.138948;0.016482;0.017214;0.011295;0.135418;0.010598
