;n1;n2;n3;n4
H10;0.10222224176695367;0.0939530015905331;0.12692791643794454;0.14285947688301442
H6;0.09148620996053057;0.07731768978870458;0.07240543131019532;0.06766160882840046
H5;0.07666342044792253;0.06845860550757464;0.07131897232938278;0.06846370975630323
H4;0.12029748972972146;0.08977749871997451;0.0864019801087014;0.08453866670939333
H3;0.1500097454644283;0.11356033266167158;0.1029961190754268;0.08272625468382891
H2;0.09950218241502443;0.09351119707776144;0.09833582501279267;0.09898656258433215
H1;0.0755828636708775;0.07060767565267012;0.07869533823396396;0.08197008237953239
