Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.156594;0.003442;0.019674;0.065315;0.040621;0.006299;0.010874;0.036765;0.057716;0.004845
ES;0.194425;0.003058;0.117710;0.072066;0.113514;0.018965;0.027217;0.007405;0.170632;0.012515
ARIMA;0.171897;0.003822;0.101212;0.075019;0.106993;0.019376;0.019888;0.010649;0.163844;0.015621
RidgeCV;0.159032;0.004494;0.043391;0.044907;0.068682;0.015950;0.016753;0.010609;0.105158;0.011312
EnetCV;0.159468;0.004496;0.043438;0.045005;0.068559;0.015987;0.016751;0.010620;0.105057;0.011340
LassoCV;0.114719;0.003042;0.049728;0.061947;0.053131;0.012064;0.015483;0.022071;0.155202;0.009778
RF;0.176569;0.004841;0.033637;0.089822;0.148572;0.097339;0.016004;0.030601;0.124305;0.014186
KNN;0.139522;0.003711;0.008861;0.058136;0.087547;0.049499;0.082189;0.015408;0.038803;0.008486
GBR;0.114697;0.004914;0.047170;0.047005;0.111232;0.007818;0.010048;0.009017;0.084685;0.008656
PLS;0.148141;0.004448;0.042266;0.044853;0.071968;0.015121;0.017355;0.010141;0.106352;0.009591
