Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.092029;0.101773;0.044919;0.065011;0.398725;0.249971;0.046654;0.153524;0.102509;0.301570
ES;0.146678;0.238402;1.481594;0.156482;0.644883;0.505251;0.052306;0.186988;0.313310;1.219264
ARIMA;0.090153;0.093338;0.136559;0.136485;0.475505;0.475050;0.039964;0.101026;0.296357;0.708351
RidgeCV;0.165824;0.045952;0.215025;0.198749;0.380455;0.249360;0.106651;0.087028;0.233627;0.372044
EnetCV;0.139404;0.044634;0.221461;0.214771;0.450590;0.217190;0.108115;0.091292;0.220245;0.371459
LassoCV;0.143748;0.063754;0.239153;0.170205;0.245040;0.385403;0.112559;0.100504;0.234106;0.349514
RF;0.132092;0.153776;0.238163;0.092042;0.168866;0.204288;0.079728;0.217783;0.120910;0.374880
KNN;0.092729;0.142290;0.077222;0.157632;0.168665;0.222357;0.029548;0.125132;0.118797;0.243990
GBR;0.120131;0.033825;0.074060;0.137039;0.150310;0.092397;0.011498;0.051276;0.107024;0.134155
PLS;0.138844;0.046179;0.225140;0.205176;0.381536;0.474357;0.089835;0.083153;0.315752;0.287492
