Models;MSE_split1;MSE_split2;MSE_split3;MSE_split4;MSE_split5;MSE_split6;MSE_split7;MSE_split8;MSE_split9;MSE_split10
NHITS;0.279646;0.018454;0.082628;0.061157;0.223636;0.033543;0.075183;0.094244;0.084419;0.027687
ES;0.141187;0.006774;0.154269;0.060086;0.196657;0.044550;0.010489;0.163165;0.221280;0.062523
ARIMA;0.100164;0.021916;0.105290;0.082930;0.189269;0.059916;0.013600;0.119647;0.242325;0.096280
RidgeCV;0.092177;0.017402;0.083256;0.095954;0.134550;0.010357;0.015568;0.144984;0.100713;0.111937
EnetCV;0.107633;0.015554;0.086339;0.081358;0.108754;0.009346;0.014871;0.157757;0.104104;0.122191
LassoCV;0.081799;0.015654;0.072378;0.119837;0.179944;0.013831;0.014422;0.153847;0.115340;0.116864
RF;0.132139;0.221079;0.152466;0.138930;0.295083;0.128951;0.038240;0.029960;0.102024;0.053890
KNN;0.087132;0.022449;0.074201;0.156076;0.783094;0.170085;0.009962;0.058945;0.048911;0.048924
GBR;0.102590;0.031041;0.055398;0.123841;0.415335;0.034943;0.011404;0.056047;0.101942;0.016788
PLS;0.103686;0.015278;0.087599;0.084204;0.117783;0.009591;0.014109;0.156622;0.099101;0.119624
